"","Currency","Market.Capitalization","Fully_diluted_Mkt_Cap","Last","Avail_coins","Total_coins","Traded_Vol","Change."
"1","Bitcoin",551.472,608.086,28956.47,19.045,21,33.737,-4.4
"2","Ethereum",233.748,233.748,1934.13,120.854,120.854,16.184,-4.1
"3","Tether",74.099,79.604,1,74.201,79.714,59.067,-0.03
"4","USD Coin",52.839,52.839,1,52.839,52.839,5.665,0
"5","Binance Coin",48.281,48.825,295.7,163.277,165.117,1.653,-3.56
"6","XRP",19.619,40.583,0.41,48.343,100,1.678,-3.4
"7","HEX",18.878,68.968,0.11,173.411,633.543,13.616,-0.35
"8","Cardano",17.113,22.815,0.51,33.753,45,770.277,-4.88
"9","Solana",16.519,24.921,48.71,339.137,511.617,1.801,-6.58
"10","Dogecoin",10.972,10.972,0.08,132.671,132.671,533.707,-4.17
"11","HitChain",9.875,16.458,0.16,61.44,102.4,116.819,-3.6
"12","Polkadot",9.441,10.548,9.56,987.579,1.103,705.344,-4.69
"13","Wrapped Bitcoin",8.006,8.006,28945.72,276.603,276.603,276.536,-4.6
"14","Avalanche",7.61,11.194,28.28,269.119,395.891,889.418,-6.85
"15","TRON",7.109,7.109,0.07,97.147,97.147,975.062,-0.56
"16","Dai",6.549,6.549,1,6.548,6.548,357.696,-0.14
"17","SHIBA INU",6.366,6.838,0,549063.279,589735.03,344.602,-4.46
"18","Polygon",4.953,6.23,0.62,7.951,10,494.268,-5.32
"19","UNUS SED LEO",4.765,4.922,5,953.954,985.24,6.341,-0.24
"20","Litecoin",4.723,5.641,67.16,70.326,84,786.809,-6.75
"21","FTX Token",4.001,10.338,29.36,136.304,352.17,68.321,-5.04
"22","NEAR Protocol",3.95,5.709,5.71,691.974,1,440.925,-6.21
"23","Uniswap",3.671,5.107,5.11,718.822,1,158.465,-1.45
"24","Bitcoin Cash",3.581,3.944,187.79,19.068,21,2.897,-4.54
"25","Cosmos",3.198,0,11.17,286.37,0,484.376,3.03
"26","ChainLink",3.177,6.802,6.8,467.01,1,373.025,-5.63
"27","Stellar",3.152,6.35,0.13,24.822,50.002,182.097,-2.03
"28","Bitcoin BEP2",3.047,3.259,28965.21,105.196,112.501,24.898,-4.36
"29","Monero",3.004,3.004,165.74,18.124,18.124,193.613,0.24
"30","Algorand",2.874,4.218,0.42,6.813,10,152.103,-6.34
"31","Flow (Dapper Labs)",2.818,3.735,2.72,1.036,1.373,96.802,-4.94
"32","Ethereum Classic",2.679,4.185,19.86,134.864,210.7,375.836,-4.88
"33","APEcoin.dev",2.23,7.633,7.63,292.188,1,606.096,-5.22
"34","Hedera Hashgraph",2.046,4.931,0.1,20.741,50,31.134,-5.45
"35","Elrond",1.933,2.765,88.01,21.959,31.416,60.523,-4.12
"36","VeChain",1.915,2.582,0.03,64.316,86.713,172.689,-5.46
"37","Decentraland",1.912,2.274,1.04,1.844,2.194,480.919,-7.36
"38","Internet Computer",1.782,3.676,7.63,233.571,481.782,100.186,-6.72
"39","Filecoin",1.646,1.646,7.74,212.745,212.745,262.247,-5.73
"40","X
							
								Chain",1.526,6.203,0.09,16.951,68.895,72.537,4.93
"41","The Sandbox",1.518,3.709,1.24,1.228,3,1.174,-4.49
"42","Tezos",1.511,1.548,1.69,895.239,916.807,46.78,-3.38
"43","KuCoin Token",1.472,2.545,14.96,98.38,170.119,10.85,-1.55
"44","C
							
								CoTrader",1.466,1.553,0.08,18.887,20,405,2.16
"45","Zcash",1.459,2.125,101.17,14.425,21,164.139,-3.61
"46","Maker",1.346,1.385,1377.1,977.631,1.006,128.202,-4.1
"47","DeFiChain",1.336,3.139,2.62,510.738,1.2,20.22,-4.25
"48","PancakeSwap",1.289,3.265,4.35,296.068,750,119.373,-4.71
"49","EOS",1.246,1.328,1.26,989.952,1.055,296.523,-4.71
"50","Axie Infinity",1.241,5.503,20.38,60.907,270,240.417,-6.53
"51","TrueUSD",1.222,1.222,1,1.224,1.224,164.413,-0.13
"52","Klaytn",1.209,4.592,0.43,2.84,10.782,89.831,-2.65
"53","Aave",1.194,1.39,86.9,13.74,16,221.195,-5.1
"54","Theta Token",1.193,1.193,1.19,1,1,88.22,-6.87
"55","Huobi Token",1.082,3.494,6.99,154.885,500,40.458,-1.32
"56","eCash",1.073,1.182,0,19064.223,21000,10.445,70.16
"57","The Graph",1.033,1.506,0.15,6.9,10.057,65.746,-7.07
"58","Pax Dollar",941.066,941.066,1,945.643,945.643,12.629,0.39
"59","THORChain",937.895,1.418,2.84,330.688,500,93.486,-7.21
"60","Bitcoin SV",925.613,1.02,48.55,19.064,21,145.867,-5.72
"61","Helium",912.648,1.723,7.73,118.088,223,18.968,-6.71
"62","IOTA",880.572,880.572,0.32,2.78,2.78,23.291,-6.92
"63","Quant",841.277,1.018,69.68,12.073,14.612,45.894,3.43
"64","Fantom",829.418,1.035,0.33,2.545,3.175,318.039,-6.91
"65","GMT Token",796.517,7.965,1.33,600,6,1.059,-11.43
"66","Neutrino USD",791.77,791.771,0.92,862.697,862.697,10.81,1.67
"67","Nexo",730.238,1.304,1.3,560,1,9.647,-2.19
"68","TerraUSD",717.003,717.003,0.06,11.279,11.279,58.329,-15.49
"69","NEO",703.112,996.772,9.97,70.539,100,69.673,-5.17
"70","Chiliz",693.788,1.028,0.12,6,8.889,122.487,-5.96
"71","Kusama",666.207,759.107,78.65,8.47,9.651,73.595,7.43
"72","Stacks",655.363,906.536,0.5,1.314,1.818,11.652,-6.56
"73","Parachute",637.194,1.062,1.06,599.906,999.628,75.588,1.67
"74","Zilliqa",629.709,1.033,0.05,12.807,21,236.85,-2.78
"75","Loopring",619.164,639.847,0.47,1.33,1.375,92.483,-3.99
"76","Waves",617.781,617.781,5.7,108.313,108.313,263.463,-9.33
"77","Convex Finance",611.494,989.456,9.89,61.801,100,14.163,-4.05
"78","PAX Gold",609.263,609.263,1846.24,330.002,330.002,30.41,-0.12
"79","Dash",602.791,1.062,56.17,10.732,18.9,133.86,-4.26
"80","Kadena",586.393,3.186,3.19,184.053,1,46.924,38.52
"81","Enjin Coin",578.832,650.752,0.65,889.482,1,83.673,-6.62
"82","Celo",578.415,1.317,1.32,439.192,1,40.883,-4.98
"83","Basic Attention Token",560.5,560.9,0.37,1.499,1.5,74.704,-4.11
"84","Gnosis",559.252,2.168,216.8,2.58,10,4.801,2.86
"85","Amp",553.183,1.212,0.01,42.228,92.548,11.063,-4.8
"86","Gala",546.658,2.761,0.08,6.977,35.24,379.933,-8.58
"87","BigONE Token",544.647,607.474,0.05,12.071,13.463,53.203,-3.28
"88","Decred",526.74,788.268,37.54,14.033,21,5.857,-2.26
"89","U
							
								USDD",524.403,524.403,1.51,347.651,347.651,101.467,47.69
"90","Holo",522.832,535.84,0,173.308,177.619,35.512,15.88
"91","XinFin Network",519.272,1.591,0.04,12.305,37.705,19.502,-7.09
"92","Mina",507.176,820.382,1,509.477,824.105,31.394,-4.22
"93","Curve DAO Token",498.424,3.598,1.09,457.608,3.303,242.911,0.91
"94","Arweave",497.948,984.126,14.91,33.395,66,48.379,-1.66
"95","Kava",461.631,411.996,2.37,194.579,173.658,107.383,-5.62
"96","Kyber Network",460.549,460.549,2.59,177.809,177.809,557.797,-2.8
"97","Tether Gold",451.805,451.805,1832.7,246.524,246.524,746.934,-0.63
"98","Compound",450.119,632.277,63.23,7.119,10,52.715,-6.03
"99","Facebook tokenized stock Bittrex",426.399,37.3,195.6,2.18,190.7,949.547,1.71
"100","Lido DAO",421.998,1.348,1.35,312.951,1,7.717,-4.73
"101","Qtum",409.299,423.645,3.93,104.171,107.822,72.397,-1.97
"102","Bancor",391.862,391.862,1.36,288.346,288.346,15.35,-5.03
"103","1inch",377.819,1.365,0.91,415.078,1.5,56.11,-2.24
"104","0x",368.728,435.08,0.44,847.496,1,176.47,11.36
"105","Symbol",367.428,592.365,0.07,5.582,9,2.381,-0.44
"106","Livepeer",346.314,370.929,14.53,23.839,25.533,24.726,1.07
"107","yearn.finance",337.892,338.153,9222.53,36.638,36.666,58.626,-2.99
"108","OmiseGO",331.108,331.108,2.36,140.245,140.245,63.441,-5.16
"109","Theta Fuel",326.339,326.339,0.06,5.301,5.301,52.587,-5.97
"110","Oasis Network",318.312,633.156,0.06,5.027,10,74.578,-9.88
"111","Secret",317.37,369.592,1.94,163.296,190.165,10.805,-1.77
"112","ICON",316.132,318.445,0.34,919.483,926.21,11.442,-5.91
"113","Bitcoin Gold",310.528,372.337,17.73,17.514,21,5.036,-6.44
"114","IOStoken",306.341,1.483,0.02,18.589,90,35.251,-4.53
"115","Ravencoin",301.582,604.703,0.03,10.473,21,15.405,-4.93
"116","SwissBorg",301.333,301.333,0.3,1,1,803.784,-1.83
"117","IoTeX",300.635,315.105,0.03,9.541,10,25.377,-3.73
"118","G
							
								Moonbeam",296.867,1.089,1.09,272.564,1,35.427,-9.94
"119","Ankr",292.571,358.415,0.04,8.163,10,30.214,-6.24
"120","Synthetix Network Token",289.53,535.549,2.52,114.842,212.424,52.591,-6.68
"121","Serum",284.636,10.987,1.08,263.245,10.161,33.106,-6.33
"122","Audius",280.886,432.192,0.39,713.382,1.098,28.361,-10.15
"123","E
							
								Everscale",279.705,465.978,0.23,1.23,2.05,2.941,-0.76
"124","SKALE Network",267.427,534.551,0.08,3.502,7,11.581,-9.62
"125","Gatechain Token",259.481,993.68,3.31,78.34,300,7.216,-43.03
"126","Metacoin",256.955,260.179,0.33,773.58,783.285,135.86,18.65
"127","Siacoin",250.264,250.264,0,50.97,50.97,7.818,-7.18
"128","E
							
								Ethereum Name Service",249.976,1.235,12.35,20.245,100,187.294,-1.92
"129","Horizen",247.662,419.304,19.97,12.404,21,27.884,-4.71
"130","Golem",243.762,243.762,0.24,1,1,9.579,-7.96
"131","BinaryX",237.581,2.466,117.45,2.023,21,49.139,-4.87
"132","WAX",236.481,457.633,0.12,2,3.871,13.292,-3.95
"133","Ontology",228.966,261.601,0.26,875.25,1,21.697,-4.87
"134","Render Token",227.897,482.081,0.9,253.799,536.871,10.956,-2.46
"135","Braintrust",227.358,628.75,2.52,90.401,250,2.506,-3.68
"136","Bitpanda Ecosystem Token",221.705,627.846,0.63,353.119,1,27.265,-1.88
"137","Keystone of Opportunity & Knowledge",219.463,10.223,2.04,107.333,5,4.523,0.75
"138","Swipe",217.004,235.016,0.45,484.871,525.117,41.273,-2.91
"139","Voyager Token",208.087,208.764,0.75,278.482,279.388,5.882,-5.61
"140","Wootrade",207.951,593.444,0.2,1.051,3,21.179,1.42
"141","Polymath",207.672,231.118,0.23,898.551,1,10.319,-8.61
"142","Hive Blockchain",206.087,206.087,0.48,432.049,432.049,8.064,-3.55
"143","Storj",205.933,224.272,0.53,390.247,425,25.399,-3.88
"144","A
							
								Astar",205.726,422.8,0.06,3.406,7,19.676,-1.47
"145","Plair",205.361,396.2,0.57,362.829,700,39.384,35.73
"146","Nervos Network",201.041,221.185,0.01,33.34,36.681,2.38,-7.52
"147","WhiteCoin",199.793,268.466,0.27,744.201,1,2.67,-0.06
"148","UMA",196.885,300.859,2.97,66.208,101.173,24.75,-8.59
"149","Immutable X",193.403,1.644,0.82,235.284,2,51.671,-7.95
"150","Galatasaray Fan Token",191.981,1.092,5.46,35.161,200,262.103,-12.67
